ID,Direccion,Localidad,Coordenadas,
47878,calle clemente parraga 165 urbanización jacaranda manzana j4 ,SAN BORJA-LIMA-LIMA,"(-12.082383,-76.995449)",
47879,avenida canada 3308 urbanización jacaranda manzana l4 ,SAN BORJA-LIMA-LIMA,"(-12.081759,-76.995628)",
47880,avenida canada 3336 urbanización jacaranda manzana l4 ,SAN BORJA-LIMA-LIMA,"(-12.081627,-76.995168)",
47881,avenida canada 3460 urbanización jacaranda manzana l4 ,SAN BORJA-LIMA-LIMA,"(-12.081421,-76.9942)",
47882,avenida agustin de la rosa toro 1076 urbanización jacaranda manzana i4 ,SAN BORJA-LIMA-LIMA,"(-12.08209,-76.993532)",
47883,calle nicanor arteaga 434 urbanizacion javier prado manzana l3 ,SAN BORJA-LIMA-LIMA,"(-12.082306,-76.992496)",
47884,calle jorge francisco o'connor 183 urbanización javier prado manzana k3 ,SAN BORJA-LIMA-LIMA,"(-12.08345,-76.99202)",
47885,calle victor estremadoyro 0 urbanización jacaranda manzana h5 lote 7,SAN BORJA-LIMA-LIMA,"(-12.085761,-76.995994)",
47886,avenida julio bayletti 336 urbanización jacaranda manzana f5 ,SAN BORJA-LIMA-LIMA,"(-12.084812,-76.994342)",
47887,avenida julio bayletti 372 urbanización jacaranda manzana f5 ,SAN BORJA-LIMA-LIMA,"(-12.084732,-76.99378)",
47888,calle jorge aprile 102 urbanización jacaranda manzana b4 ,SAN BORJA-LIMA-LIMA,"(-12.084387,-76.996152)",
47889,calle jorge aprile 212 urbanización jacaranda manzana a4 ,SAN BORJA-LIMA-LIMA,"(-12.084192,-76.99472)",
47890,calle carlos cobilich 212 urbanización jacaranda manzana e4 ,SAN BORJA-LIMA-LIMA,"(-12.083705,-76.99478)",
47891,calle esteban bentarelli 0 urbanización jacaranda manzana d4 lote 14,SAN BORJA-LIMA-LIMA,"(-12.08262,-76.99383)",
47892,avenida agustin de la rosa toro 1140 urbanización jacaranda manzana d4 ,SAN BORJA-LIMA-LIMA,"(-12.082959,-76.993408)",
47893,avenida agustin de la rosa toro 1186 urbanización jacaranda manzana d4 ,SAN BORJA-LIMA-LIMA,"(-12.083588,-76.993315)",
47894,calle horacio ballon 205 urbanización jacaranda manzana l4 ,SAN BORJA-LIMA-LIMA,"(-12.082103,-76.995501)",
47895,avenida agustin de la rosa toro 1074 urbanización jacaranda manzana i4 ,SAN BORJA-LIMA-LIMA,"(-12.082079,-76.993534)",
47896,avenida canada 3488 urbanización jacaranda manzana i4 ,SAN BORJA-LIMA-LIMA,"(-12.081302,-76.993822)",
47897,avenida agustin de la rosa toro 1016 urbanización jacaranda manzana i4 ,SAN BORJA-LIMA-LIMA,"(-12.081416,-76.99363)",
47898,calle jose astudillo vasallo 106 urbanización javier prado manzana j3 ,SAN BORJA-LIMA-LIMA,"(-12.082483,-76.991346)",
47899,calle nicanor arteaga 416 urbanización javier prado manzana l3 ,SAN BORJA-LIMA-LIMA,"(-12.082315,-76.992583)",
47900,calle nicanor arteaga 418 urbanización javier prado manzana l3 ,SAN BORJA-LIMA-LIMA,"(-12.082316,-76.992569)",
47901,calle jorge francisco o'connor 115 urbanización javier prado manzana k3 lote 15,SAN BORJA-LIMA-LIMA,"(-12.082578,-76.992143)",
47902,calle enrique pastor 185 urbanización javier prado manzana j3 ,SAN BORJA-LIMA-LIMA,"(-12.08335,-76.991538)",
47903,calle enrique pastor 158 urbanización javier prado manzana k3 ,SAN BORJA-LIMA-LIMA,"(-12.083124,-76.991747)",
47904,calle enrique pastor 0 urbanización javier prado manzana k3 lote 28,SAN BORJA-LIMA-LIMA,"(-12.083073,-76.991758)",
47905,calle enrique pastor 137 urbanización javier prado manzana j3 ,SAN BORJA-LIMA-LIMA,"(-12.082877,-76.991605)",
47906,calle enrique pastor 0 urbanización javier prado manzana j3 lote 11,SAN BORJA-LIMA-LIMA,"(-12.082783,-76.991619)",
47907,calle jorge aprile 464 urbanización javier prado manzana e3 ,SAN BORJA-LIMA-LIMA,"(-12.083807,-76.991843)",
47908,calle jorge francisco o'connor 0 urbanización javier prado manzana l3 lote 30,SAN BORJA-LIMA-LIMA,"(-12.083121,-76.992253)",
47909,calle mario florian 166 urbanización javier prado manzana r3 ,SAN BORJA-LIMA-LIMA,"(-12.082004,-76.992897)",
47910,jirón san miguel 607 urbanización javier prado manzana r3 ,SAN BORJA-LIMA-LIMA,"(-12.08155,-76.993042)",
47911,calle henri de toulouse lautrec 220 urbanización san borja manzana k6 ,SAN BORJA-LIMA-LIMA,"(-12.092249,-76.99303)",
47912,calle mario florian 0 urbanización javier prado manzana m3 lote 24,SAN BORJA-LIMA-LIMA,"(-12.082786,-76.992803)",
47913,avenida julio bayletti 436 urbanizacion javier prado manzana d3 ,SAN BORJA-LIMA-LIMA,"(-12.084572,-76.992333)",
47914,avenida de las artes norte 1143 urbanizacion san borja manzana b5 ,SAN BORJA-LIMA-LIMA,"(-12.089575,-76.994562)",
47915,calle bartolome bermejo 140 urbanización san borja manzana o6 ,SAN BORJA-LIMA-LIMA,"(-12.090391,-76.994374)",
47916,calle tomas breton 113 urbanización san borja manzana n6 ,SAN BORJA-LIMA-LIMA,"(-12.092199,-76.994873)",
47917,avenida de las artes norte 1042 urbanización san borja manzana d6 ,SAN BORJA-LIMA-LIMA,"(-12.089955,-76.995788)",
47918,avenida de las artes norte 1182 urbanización san borja manzana e6 ,SAN BORJA-LIMA-LIMA,"(-12.089678,-76.993803)",
47919,calle bartolome bermejo 181 urbanización san borja manzana e6 ,SAN BORJA-LIMA-LIMA,"(-12.090162,-76.993867)",
47920,calle antonio van dyck 170 urbanización san borja manzana b5 ,SAN BORJA-LIMA-LIMA,"(-12.089052,-76.994199)",
47921,calle oscar dominguez 430 urbanización san borja manzana q6 ,SAN BORJA-LIMA-LIMA,"(-12.092422,-76.993494)",
47922,calle angiolo bronzino 285 urbanización san borja manzana k5 ,SAN BORJA-LIMA-LIMA,"(-12.088215,-76.994101)",
47923,avenida javier prado este 2950 urbanización san borja manzana e5 ,SAN BORJA-LIMA-LIMA,"(-12.087163,-76.994734)",
47924,avenida agustin de la rosa toro 1312 urbanización jacaranda manzana a5 ,SAN BORJA-LIMA-LIMA,"(-12.085717,-76.993013)",
47925,calle virrey joaquin de la pezuela 0 urbanización jacaranda manzana h lote 13,SAN BORJA-LIMA-LIMA,"(-12.086042,-76.994178)",
47926,calle mariano iberico 160 urbanización jacaranda manzana c5 ,SAN BORJA-LIMA-LIMA,"(-12.085846,-76.994188)",
47927,calle jorge aprile 164 urbanización jacaranda manzana b4 ,SAN BORJA-LIMA-LIMA,"(-12.084295,-76.995469)",
47928,calle nicanor arteaga 185 urbanización jacaranda manzana k4 ,SAN BORJA-LIMA-LIMA,"(-12.082796,-76.995801)",
47929,calle horacio ballon 162 urbanización jacaranda manzana k4 ,SAN BORJA-LIMA-LIMA,"(-12.082657,-76.996233)",
47930,calle jose reynafarje 195 urbanización jacaranda manzana h4 ,SAN BORJA-LIMA-LIMA,"(-12.083427,-76.994216)",
47931,avenida agustin de la rosa toro 1118 urbanización jacaranda manzana d4 ,SAN BORJA-LIMA-LIMA,"(-12.082751,-76.993436)",
47932,calle esteban bentarelli 239 urbanización jacaranda manzana d4 ,SAN BORJA-LIMA-LIMA,"(-12.083077,-76.993766)",
47933,avenida agustin de la rosa toro 1180 urbanización jacaranda manzana d4 ,SAN BORJA-LIMA-LIMA,"(-12.083507,-76.993329)",
47934,calle horacio ballon 260 urbanización jacaranda manzana j4 ,SAN BORJA-LIMA-LIMA,"(-12.082067,-76.994707)",
47935,calle nicanor arteaga 261 urbanización jacaranda manzana j4 ,SAN BORJA-LIMA-LIMA,"(-12.082456,-76.994833)",
47936,calle horacio ballon 241 urbanización jacaranda manzana l4 ,SAN BORJA-LIMA-LIMA,"(-12.081956,-76.994927)",
47937,calle henri de toulouse lautrec 405 urbanización san borja manzana k6 ,SAN BORJA-LIMA-LIMA,"(-12.092654,-76.9922)",
47938,calle jose urdanivia gines 424 urbanización javier prado manzana q3 ,SAN BORJA-LIMA-LIMA,"(-12.081809,-76.992551)",
47939,calle jose urdanivia gines 570 urbanización javier prado manzana p3 ,SAN BORJA-LIMA-LIMA,"(-12.081805,-76.99103)",
47940,calle jose urdanivia gines 418 urbanización javier prado manzana q3 ,SAN BORJA-LIMA-LIMA,"(-12.081808,-76.992564)",
47941,calle jose urdanivia gines 402 urbanización javier prado manzana q3 ,SAN BORJA-LIMA-LIMA,"(-12.081809,-76.992731)",
47942,avenida agustin de la rosa toro 1170 urbanización jacaranda manzana d4 ,SAN BORJA-LIMA-LIMA,"(-12.083388,-76.993346)",
47943,calle horacio ballon 218 urbanización jacaranda manzana j4 ,SAN BORJA-LIMA-LIMA,"(-12.082182,-76.995207)",
47944,avenida agustin de la rosa toro 1056 urbanización jacaranda manzana i4 ,SAN BORJA-LIMA-LIMA,"(-12.081889,-76.993559)",
47945,calle carlos cobilich 248 urbanización jacaranda manzana e4 ,SAN BORJA-LIMA-LIMA,"(-12.083658,-76.994422)",
47946,avenida agustin de la rosa toro 1136 urbanización jacaranda manzana d4 ,SAN BORJA-LIMA-LIMA,"(-12.082935,-76.993411)",
47947,calle henri de toulouse lautrec 215 urbanización san borja manzana f6 ,SAN BORJA-LIMA-LIMA,"(-12.0921,-76.992967)",
47948,calle rafael redon 378 urbanización san borja manzana f6 ,SAN BORJA-LIMA-LIMA,"(-12.091876,-76.992803)",
47949,calle daniel mu╤oz 221 urbanización javier prado manzana b2 ,SAN BORJA-LIMA-LIMA,"(-12.08523,-76.989875)",
47950,calle daniel mu╤oz 232 urbanización javier prado manzana b2 ,SAN BORJA-LIMA-LIMA,"(-12.085395,-76.990035)",
47951,calle daniel mu╤oz 160 urbanización javier prado manzana b2 ,SAN BORJA-LIMA-LIMA,"(-12.084713,-76.99014)",
47952,calle oscar dominguez 388 urbanización san borja manzana p6 ,SAN BORJA-LIMA-LIMA,"(-12.091669,-76.993339)",
47953,calle joaquin sorolla 179 urbanización san borja manzana p6 ,SAN BORJA-LIMA-LIMA,"(-12.091569,-76.993746)",
47954,calle nicanor arteaga 469 urbanización javier prado manzana q3 ,SAN BORJA-LIMA-LIMA,"(-12.082103,-76.992203)",
47955,avenida javier prado este 3331 urbanización javier prado manzana b2 ,SAN BORJA-LIMA-LIMA,"(-12.085951,-76.990174)",
47956,calle oscar dominguez 300 urbanización san borja manzana e6 ,SAN BORJA-LIMA-LIMA,"(-12.089825,-76.993538)",
47957,calle bartolome bermejo 115 urbanización san borja manzana e6 ,SAN BORJA-LIMA-LIMA,"(-12.090319,-76.995017)",
47958,calle horacio ballon 104 urbanización jacaranda manzana k4 ,SAN BORJA-LIMA-LIMA,"(-12.083004,-76.996887)",
47959,calle jorge aprile 232 urbanización jacaranda manzana a4 ,SAN BORJA-LIMA-LIMA,"(-12.084167,-76.994547)",
47960,calle carlos cobilich 152 urbanización jacaranda manzana f4 ,SAN BORJA-LIMA-LIMA,"(-12.083808,-76.995544)",
47961,calle esteban bentarelli 216 urbanización jacaranda manzana h4 ,SAN BORJA-LIMA-LIMA,"(-12.082649,-76.993997)",
47962,avenida agustin de la rosa toro 1110 urbanización jacaranda manzana d4 ,SAN BORJA-LIMA-LIMA,"(-12.08255,-76.993471)",
47963,avenida agustin de la rosa toro 1120 urbanización jacaranda manzana d4 ,SAN BORJA-LIMA-LIMA,"(-12.082762,-76.993434)",
47964,calle esteban bentarelli 241 urbanización jacaranda manzana d4 ,SAN BORJA-LIMA-LIMA,"(-12.083091,-76.993763)",
47965,calle horacio ballon 210 urbanización jacaranda manzana j4 ,SAN BORJA-LIMA-LIMA,"(-12.082198,-76.995278)",
47966,calle esteban bentarelli 173 urbanización jacaranda manzana i4 ,SAN BORJA-LIMA-LIMA,"(-12.0821,-76.993907)",
47967,calle tomas breton 207 urbanización san borja manzana k6 ,SAN BORJA-LIMA-LIMA,"(-12.092597,-76.993305)",
47968,calle oscar dominguez 365 urbanización san borja manzana f6 ,SAN BORJA-LIMA-LIMA,"(-12.091367,-76.993138)",
47969,calle nicanor arteaga 526 urbanización javier prado manzana j3 ,SAN BORJA-LIMA-LIMA,"(-12.082304,-76.991498)",
47970,calle enrique pastor 0 urbanización javier prado manzana k3 lote 33,SAN BORJA-LIMA-LIMA,"(-12.083423,-76.991708)",
47971,calle enrique pastor 198 urbanización javier prado manzana k3 ,SAN BORJA-LIMA-LIMA,"(-12.083562,-76.991687)",
47972,calle jose astudillo vasallo 138 urbanización javier prado manzana j3 ,SAN BORJA-LIMA-LIMA,"(-12.082884,-76.991291)",
47973,calle mario florian 292 urbanización javier prado manzana m3 ,SAN BORJA-LIMA-LIMA,"(-12.083616,-76.992672)",
47974,calle jorge francisco o'connor 137 urbanización javier prado manzana k3 ,SAN BORJA-LIMA-LIMA,"(-12.082947,-76.992091)",
47975,calle horacio ballon 233 urbanización jacaranda manzana l4 ,SAN BORJA-LIMA-LIMA,"(-12.081979,-76.995023)",
47976,calle walter infante de la torre 220 urbanización javier prado manzana a2 ,SAN BORJA-LIMA-LIMA,"(-12.085374,-76.990581)",
47977,calle manuel scorza 175 urbanización javier prado manzana a2 ,SAN BORJA-LIMA-LIMA,"(-12.084891,-76.991071)",
47978,calle esteban bentarelli 293 urbanización jacaranda manzana d4 ,SAN BORJA-LIMA-LIMA,"(-12.083816,-76.993656)",
47979,avenida agustin de la rosa toro 1089 urbanización javier prado manzana r3 ,SAN BORJA-LIMA-LIMA,"(-12.082126,-76.993233)",
47980,calle jose jimenez borja 268 urbanización javier prado manzana b2 ,SAN BORJA-LIMA-LIMA,"(-12.085546,-76.989459)",
47981,calle jose jimenez borja 165 urbanización javier prado manzana d2 ,SAN BORJA-LIMA-LIMA,"(-12.085012,-76.989385)",
47982,calle jose jimenez borja 113 urbanización javier prado manzana d2 ,SAN BORJA-LIMA-LIMA,"(-12.084414,-76.989514)",
47983,calle daniel mu╤oz 194 urbanización javier prado manzana b2 ,SAN BORJA-LIMA-LIMA,"(-12.08502,-76.990092)",
47984,calle walter infante de la torre 143 urbanización javier prado manzana b2 ,SAN BORJA-LIMA-LIMA,"(-12.084659,-76.99051)",
47985,calle walter infante de la torre 0 urbanización javier prado manzana b2 lote 7,SAN BORJA-LIMA-LIMA,"(-12.084593,-76.990517)",
47986,calle daniel mu╤oz 0 urbanización javier prado manzana b2 lote 29,SAN BORJA-LIMA-LIMA,"(-12.085689,-76.989988)",
47987,avenida julio bayletti 536 urbanización javier prado manzana a2 ,SAN BORJA-LIMA-LIMA,"(-12.084369,-76.990851)",
47988,calle oscar dominguez 362 urbanización san borja manzana p6 ,SAN BORJA-LIMA-LIMA,"(-12.091452,-76.993327)",
47989,calle enrique paillardelle 281 urbanización jacaranda manzana f5 ,SAN BORJA-LIMA-LIMA,"(-12.085127,-76.993883)",
47990,calle alonso del arco 131 urbanización san borja manzana o6 ,SAN BORJA-LIMA-LIMA,"(-12.090765,-76.994189)",
47991,calle alonso del arco 149 urbanización san borja manzana o6 ,SAN BORJA-LIMA-LIMA,"(-12.090756,-76.994076)",
47992,avenida julio bayletti 483 urbanización javier prado manzana e3 ,SAN BORJA-LIMA-LIMA,"(-12.084094,-76.991545)",
47993,avenida julio bayletti 421 urbanización javier prado manzana e3 ,SAN BORJA-LIMA-LIMA,"(-12.084226,-76.992439)",
47994,avenida javier prado este 3317 urbanización javier prado manzana a2 ,SAN BORJA-LIMA-LIMA,"(-12.086026,-76.99069)",
47995,calle eduardo lizarzaburo 129 urbanización javier prado manzana 2f ,SAN BORJA-LIMA-LIMA,"(-12.085175,-76.988551)",
47996,avenida de las artes norte 1225 urbanización san borja manzana a5 ,SAN BORJA-LIMA-LIMA,"(-12.089339,-76.99289)",
47997,avenida de las artes norte 1239 urbanización san borja manzana a5 ,SAN BORJA-LIMA-LIMA,"(-12.089299,-76.992545)",
47998,calle salvador dali 367 urbanización san borja manzana n6 ,SAN BORJA-LIMA-LIMA,"(-12.091631,-76.995084)",
47999,avenida de las artes norte 1160 urbanización san borja manzana e6 ,SAN BORJA-LIMA-LIMA,"(-12.089745,-76.994266)",
48000,avenida de las artes norte 1142 urbanización san borja manzana e6 ,SAN BORJA-LIMA-LIMA,"(-12.089784,-76.994559)",
48001,avenida de las artes norte 1118 urbanización san borja manzana e6 ,SAN BORJA-LIMA-LIMA,"(-12.089859,-76.995103)",
48002,avenida de las artes norte 1116 urbanización san borja manzana e6 ,SAN BORJA-LIMA-LIMA,"(-12.089872,-76.995195)",
48003,calle francisco ribalta 184 urbanización san borja manzana n6 ,SAN BORJA-LIMA-LIMA,"(-12.091893,-76.9946)",
48004,calle henri de toulouse lautrec 130 urbanización san borja manzana q6 ,SAN BORJA-LIMA-LIMA,"(-12.091903,-76.994097)",
48005,calle antonio van dyck 199 urbanización san borja manzana j5 ,SAN BORJA-LIMA-LIMA,"(-12.088824,-76.993738)",
48006,calle vincent van gogh 143 urbanización san borja manzana e5 ,SAN BORJA-LIMA-LIMA,"(-12.087661,-76.994849)",
48007,calle angiolo bronzino 227 urbanización san borja manzana k5 ,SAN BORJA-LIMA-LIMA,"(-12.088353,-76.99506)",
48008,avenida javier prado este 2942 urbanización san borja manzana e5 ,SAN BORJA-LIMA-LIMA,"(-12.08718,-76.994864)",
48009,avenida javier prado este 2883 urbanización jacaranda manzana g ,SAN BORJA-LIMA-LIMA,"(-12.086557,-76.995081)",
48010,calle victor estremadoyro 175 urbanización jacaranda manzana g ,SAN BORJA-LIMA-LIMA,"(-12.086125,-76.995781)",
48011,avenida julio bayletti 312 urbanización jacaranda manzana f5 ,SAN BORJA-LIMA-LIMA,"(-12.084856,-76.994634)",
48012,calle alejandro deustua 124 urbanización jacaranda manzana g4 ,SAN BORJA-LIMA-LIMA,"(-12.083513,-76.995973)",
48013,calle jose de la pinela 129 urbanización jacaranda manzana g4 ,SAN BORJA-LIMA-LIMA,"(-12.083604,-76.9963)",
48014,calle horacio ballon 164 urbanización jacaranda manzana k4 ,SAN BORJA-LIMA-LIMA,"(-12.082618,-76.99617)",
48015,calle horacio ballon 134 urbanización jacaranda manzana k4 ,SAN BORJA-LIMA-LIMA,"(-12.082809,-76.996489)",
48016,calle horacio ballon 122 urbanización jacaranda manzana k4 ,SAN BORJA-LIMA-LIMA,"(-12.082881,-76.996607)",
48017,calle horacio ballon 116 urbanización jacaranda manzana k4 ,SAN BORJA-LIMA-LIMA,"(-12.082916,-76.996675)",
48018,calle jorge aprile 208 urbanización jacaranda manzana a4 ,SAN BORJA-LIMA-LIMA,"(-12.08421,-76.994838)",
48019,calle jorge aprile 444 urbanización javier prado manzana e3 ,SAN BORJA-LIMA-LIMA,"(-12.083854,-76.992169)",
48020,calle mario florian 251 urbanización javier prado manzana l3 ,SAN BORJA-LIMA-LIMA,"(-12.083102,-76.992572)",
48021,avenida agustin de la rosa toro 1295 urbanización javier prado manzana e3 ,SAN BORJA-LIMA-LIMA,"(-12.08427,-76.992927)",
48022,calle horacio ballon 261 urbanización jacaranda manzana l4 ,SAN BORJA-LIMA-LIMA,"(-12.081921,-76.994734)",
48023,calle walter infante de la torre 189 urbanizacion javier prado manzana b2 lote 1,SAN BORJA-LIMA-LIMA,"(-12.085022,-76.990451)",
48024,calle walter infante de la torre 254 urbanización javier prado manzana a2 ,SAN BORJA-LIMA-LIMA,"(-12.085588,-76.990549)",
48025,calle daniel mu╤oz 131 urbanización javier prado manzana b2 ,SAN BORJA-LIMA-LIMA,"(-12.084602,-76.989974)",
48026,avenida de las artes norte 1155 urbanización san borja manzana b5 ,SAN BORJA-LIMA-LIMA,"(-12.08955,-76.994358)",
48027,avenida de las artes norte 1249 urbanización san borja manzana a5 ,SAN BORJA-LIMA-LIMA,"(-12.089283,-76.992339)",
48028,calle oscar dominguez 498 urbanización san borja manzana m6 ,SAN BORJA-LIMA-LIMA,"(-12.093058,-76.993712)",
48029,avenida san luis 2159 urbanización san borja manzana c6 ,SAN BORJA-LIMA-LIMA,"(-12.092305,-76.995663)",
48030,calle angiolo bronzino 172 urbanización san borja manzana c5 ,SAN BORJA-LIMA-LIMA,"(-12.08861,-76.995769)",
48031,calle salvador dali 384 urbanización san borja manzana d6 ,SAN BORJA-LIMA-LIMA,"(-12.091133,-76.995325)",
48032,pasaje federico hadraza 159 urbanización san borja manzana d6 ,SAN BORJA-LIMA-LIMA,"(-12.091296,-76.995397)",
48033,calle salvador dali 132 urbanización san borja manzana d5 ,SAN BORJA-LIMA-LIMA,"(-12.087753,-76.995805)",
48034,calle salvador dali 182 urbanización san borja manzana d5 ,SAN BORJA-LIMA-LIMA,"(-12.08828,-76.995725)",
48035,avenida javier prado este 2875 urbanización jacaranda manzana g ,SAN BORJA-LIMA-LIMA,"(-12.086555,-76.995099)",
48036,calle alejandro moreno alcala 237 urbanización jacaranda manzana a5 ,SAN BORJA-LIMA-LIMA,"(-12.085924,-76.993421)",
48037,calle mariano iberico 146 urbanización jacaranda manzana c5 ,SAN BORJA-LIMA-LIMA,"(-12.085732,-76.994206)",
48038,calle jose de la pinela 177 urbanización jacaranda manzana g4 ,SAN BORJA-LIMA-LIMA,"(-12.084033,-76.996237)",
48039,calle horacio ballon 243 urbanización jacaranda manzana l4 ,SAN BORJA-LIMA-LIMA,"(-12.081953,-76.994883)",
48040,calle walter infante de la torre 0 urbanización javier prado manzana a2 lote 28,SAN BORJA-LIMA-LIMA,"(-12.08467,-76.990688)",
48041,avenida de las artes norte 1210 urbanización san borja manzana f6 ,SAN BORJA-LIMA-LIMA,"(-12.089609,-76.993204)",
48042,calle vincent van gogh 261 urbanización san borja manzana f5 ,SAN BORJA-LIMA-LIMA,"(-12.087435,-76.993182)",
48043,calle angiolo bronzino 123 urbanización san borja manzana d5 ,SAN BORJA-LIMA-LIMA,"(-12.088491,-76.996021)",
48044,avenida julio bayletti 467 urbanización javier prado manzana e3 ,SAN BORJA-LIMA-LIMA,"(-12.084128,-76.991798)",
48045,calle eduardo lizarzaburo 121 urbanizacion javier prado manzana 2f ,SAN BORJA-LIMA-LIMA,"(-12.085201,-76.988698)",
48046,avenida javier prado este 3383 urbanización javier prado manzana b2 ,SAN BORJA-LIMA-LIMA,"(-12.085834,-76.989499)",
48047,calle angiolo bronzino 264 urbanización san borja manzana j5 ,SAN BORJA-LIMA-LIMA,"(-12.088415,-76.994402)",
48048,calle salvador dali 176 urbanización san borja manzana d5 ,SAN BORJA-LIMA-LIMA,"(-12.088172,-76.995744)",
48049,calle vincent van gogh 122 urbanización san borja manzana k5 ,SAN BORJA-LIMA-LIMA,"(-12.087867,-76.995158)",
48050,calle carlos cobilich 192 urbanización jacaranda manzana f4 ,SAN BORJA-LIMA-LIMA,"(-12.08376,-76.99517)",
48051,calle esteban bentarelli 245 urbanización jacaranda manzana d4 ,SAN BORJA-LIMA-LIMA,"(-12.083174,-76.993752)",
48052,calle horacio ballon 102 urbanización jacaranda manzana k4 ,SAN BORJA-LIMA-LIMA,"(-12.083007,-76.996902)",
48053,calle jose urdanivia gines 460 urbanización javier prado manzana q3 ,SAN BORJA-LIMA-LIMA,"(-12.081808,-76.992148)",
48054,jirón san miguel 536 urbanización javier prado manzana r3 ,SAN BORJA-LIMA-LIMA,"(-12.081665,-76.993244)",
48055,avenida san luis 1607 urbanización jacaranda manzana m4 ,SAN BORJA-LIMA-LIMA,"(-12.082734,-76.997047)",
48056,avenida agustin de la rosa toro 1108 urbanización jacaranda manzana d4 ,SAN BORJA-LIMA-LIMA,"(-12.082534,-76.993474)",
48057,avenida agustin de la rosa toro 1144 urbanización jacaranda manzana d4 ,SAN BORJA-LIMA-LIMA,"(-12.083054,-76.993397)",
48058,avenida canada 3486 urbanización jacaranda manzana i4 ,SAN BORJA-LIMA-LIMA,"(-12.081306,-76.993835)",
48059,avenida canada 3494 urbanización jacaranda manzana i4 ,SAN BORJA-LIMA-LIMA,"(-12.081266,-76.993732)",
48060,calle tomas breton 231 urbanización san borja manzana k6 ,SAN BORJA-LIMA-LIMA,"(-12.092662,-76.993134)",
48061,calle jorge aprile 598 urbanización javier prado manzana c3 ,SAN BORJA-LIMA-LIMA,"(-12.083579,-76.990247)",
48062,calle jose astudillo vasallo 116 urbanización javier prado manzana j3 ,SAN BORJA-LIMA-LIMA,"(-12.082585,-76.991331)",
48063,calle enrique pastor 104 urbanización javier prado manzana k3 ,SAN BORJA-LIMA-LIMA,"(-12.082392,-76.991855)",
48064,calle jorge francisco o'connor 0 urbanización javier prado manzana l3 lote 26,SAN BORJA-LIMA-LIMA,"(-12.082825,-76.9923)",
48065,calle mario florian 268 urbanización javier prado manzana m3 ,SAN BORJA-LIMA-LIMA,"(-12.083314,-76.992717)",
48066,calle jorge francisco o'connor 0 urbanización javier prado manzana k3 lote 4,SAN BORJA-LIMA-LIMA,"(-12.083373,-76.99203)",
48067,calle walter infante de la torre 0 urbanización javier prado manzana b2 lote 43,SAN BORJA-LIMA-LIMA,"(-12.085096,-76.990441)",
48068,calle manuel scorza 287 urbanización javier prado manzana a2 ,SAN BORJA-LIMA-LIMA,"(-12.085892,-76.990915)",
48069,calle nicanor arteaga 382 urbanización javier prado manzana m3 ,SAN BORJA-LIMA-LIMA,"(-12.082374,-76.993133)",
48070,calle mario florian 0 urbanización javier prado manzana m3 lote 22,SAN BORJA-LIMA-LIMA,"(-12.082592,-76.992836)",
48071,calle mario florian 0 urbanización javier prado manzana m3 lote 23,SAN BORJA-LIMA-LIMA,"(-12.082704,-76.992816)",
48072,calle jose jimenez borja 134 urbanización javier prado manzana b2 ,SAN BORJA-LIMA-LIMA,"(-12.084621,-76.989649)",
48073,calle daniel mu╤oz 253 urbanización javier prado manzana b2 ,SAN BORJA-LIMA-LIMA,"(-12.085352,-76.989856)",
48074,calle daniel mu╤oz 184 urbanización javier prado manzana b2 ,SAN BORJA-LIMA-LIMA,"(-12.084933,-76.990107)",
48075,calle daniel mu╤oz 153 urbanización javier prado manzana b2 ,SAN BORJA-LIMA-LIMA,"(-12.084742,-76.98995)",
48076,calle oscar dominguez 354 urbanización san borja manzana p6 ,SAN BORJA-LIMA-LIMA,"(-12.091231,-76.993332)",
48077,calle salvador dali 498 urbanización san borja manzana c6 ,SAN BORJA-LIMA-LIMA,"(-12.092685,-76.995082)",
48078,calle vincent van gogh 237 urbanización san borja manzana f5 ,SAN BORJA-LIMA-LIMA,"(-12.087452,-76.993312)",
48079,calle antonio van dyck 202 urbanización san borja manzana a5 ,SAN BORJA-LIMA-LIMA,"(-12.088954,-76.993437)",
48080,calle jorge aprile 297 urbanización jacaranda manzana e4 ,SAN BORJA-LIMA-LIMA,"(-12.083918,-76.993892)",
48081,avenida julio bayletti 317 urbanización jacaranda manzana a4 ,SAN BORJA-LIMA-LIMA,"(-12.084535,-76.994525)",
48082,calle nicanor arteaga 445 urbanización javier prado manzana q3 ,SAN BORJA-LIMA-LIMA,"(-12.082104,-76.992436)",
48083,calle nicanor arteaga 499 urbanización javier prado manzana q3 ,SAN BORJA-LIMA-LIMA,"(-12.082098,-76.991893)",
48084,calle alonso del arco 100 urbanización san borja manzana p6 ,SAN BORJA-LIMA-LIMA,"(-12.090887,-76.993676)",
48085,avenida san borja norte 1057 urbanización san borja manzana m6 ,SAN BORJA-LIMA-LIMA,"(-12.092926,-76.994338)",
48086,calle salvador dali 387 urbanización san borja manzana n6 ,SAN BORJA-LIMA-LIMA,"(-12.091297,-76.995136)",
48087,calle salvador dali 355 urbanización san borja manzana n6 ,SAN BORJA-LIMA-LIMA,"(-12.090872,-76.995207)",
48088,avenida de las artes norte 1152 urbanización san borja manzana e6 ,SAN BORJA-LIMA-LIMA,"(-12.089756,-76.994357)",
48089,calle bartolome bermejo 169 urbanización san borja manzana e6 ,SAN BORJA-LIMA-LIMA,"(-12.090188,-76.994046)",
